Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,,,,,,,,,,,,,,,,-2.503764655,3.759131529,3.081383487,4.345009515,7.400647851,3.942567483,-2.251415338,-5.193633894,0.22001324,3.315718663,0.795647324,4.753842609,2.235096294,3.122487905,3.205065375,-3.667781629,-4.259119049,-6.043362248,0.419108141,1.61643817,1.606640117,3.551299912,4.296432326,3.285180863,-0.081218372,4.040958449,-2.71767289,0.444959659,1.837293191,1.060891029,3.565323666,5.461876364,1.7525013,0.253184616,-5.469843228,-2.641107072,-0.973739962,-0.70508296,-1.613257346,-0.310745172,2.268455267,2.309812032,0.323816531,-0.722886472
Brunei Darussalam,,,,,,,,,,,,,,,,-3.721215686,15.48415719,6.762328188,2.955024877,18.38437203,-10.01110735,-22.29050914,0.911065578,-2.346201153,-2.21418663,-4.240089429,-5.444207556,-0.845485534,-1.731977534,-3.848126965,-1.746556699,0.242288261,1.821081207,-2.471496942,0.377292677,1.785087095,0.342665427,-3.790039442,-2.79359374,0.815875987,0.703316971,0.667930264,1.853226242,1.005462767,-1.212258392,-1.173658313,2.945644508,-1.102134932,-3.090072107,-2.911932071,1.349722742,2.413739982,-0.430143838,-3.437019985,-3.784519654,-1.625373519,-3.610898643,0.209044442,-0.992460953
Bhutan,,,,,,,,,,,,,,,,,,,,,,12.03185953,0.827843476,7.698003778,1.859086024,1.161980732,8.036816067,24.97367235,1.63811981,4.756655219,8.588875735,-1.122445365,4.622808648,2.35690231,5.086662731,6.528561583,4.23125671,3.417678606,3.537252859,5.459862606,1.059276076,6.082152837,8.761355447,5.794230755,4.188464354,5.644230192,5.590227761,17.03122085,3.748050248,5.691125069,10.77450932,6.768527697,3.877054941,0.875815244,4.479321287,5.348258203,6.83236706,3.408611367,1.848487752
Botswana,,4.27838774,4.408403935,3.565121819,4.457643142,3.522688663,4.120109232,3.722823107,8.187334479,12.42073157,14.05714747,22.19334803,22.43221445,17.29260058,5.023291848,4.548542233,6.532347685,7.737422931,9.946780258,7.921527287,7.897494864,5.249043352,8.3857105,9.368257753,4.828944545,3.304723489,4.145412092,7.62366768,14.95404662,9.02473668,3.265163365,4.253147392,0.107786716,-0.674864272,1.102291732,4.472473404,3.329437738,5.815390994,-1.812933861,7.322170939,-0.064863831,-1.625584261,4.205109672,2.831243212,0.893974819,2.607174833,6.189759782,5.993576872,4.017076034,-9.442021048,6.727326038,4.559247783,3.219551903,10.10178009,2.849377993,-7.144643802,5.093862034,1.873881526,1.720434373
Central African Republic,,3.276216566,-5.317693296,-2.433820747,0.224610606,-0.966336543,-1.359245929,2.514398818,-0.682574476,5.004218573,0.508620625,-0.483030605,-1.460818343,0.433667892,4.706913187,-1.337210281,3.391992112,1.623311487,-1.105573478,-4.885127966,-7.022896906,-4.374163186,4.445665833,-10.91069389,6.386848717,1.319483045,1.3612977,-6.701370944,-0.069515503,0.054854216,-4.274369188,-3.031969196,-8.976862293,-2.527467518,1.926328022,4.284583746,-6.483290211,2.686489761,2.198143111,1.196806082,-4.696612815,2.174635926,1.433283274,-7.324447321,3.88836103,-1.053217533,2.743504181,2.615832214,0.254331009,6.978712515,3.458709217,3.443004,4.632922101,-36.55691955,-0.282695893,3.663704303,3.722777874,3.200452519,2.224675451
Canada,,1.119386965,5.445858236,3.405212917,4.650755482,4.409518317,4.735675775,1.25281683,3.315250035,3.626733255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94695464,3.128791684,3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811114549,0.992851882
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.544390512,-1.625128091,1.615392781,4.127736639,5.867340343,4.763272907,2.522020017,2.877556834,2.084869875,4.548490825,3.823244749,4.282935144,4.411989804,6.108470487,5.301894078,6.872102119,6.825656709,4.304226866,-3.326176412,2.002857342,3.416987276,0.946013675,1.502456393,3.216179775,4.193568942,3.37237194,5.172695899,4.702027097
Switzerland,,,,,,,,,,,,,,,,,,,,,,1.047028267,-1.884376997,0.208475178,2.639204363,3.216945104,1.329945932,0.94940335,2.521347258,3.490642976,2.615466302,-2.146489842,-1.139718983,-1.031422705,0.465686459,-0.188350619,0.051070783,2.023107171,2.759541944,1.261444945,3.393747681,0.935103969,-0.759080084,-0.78567427,2.11713012,2.225677166,3.364296546,3.070462499,1.458141101,-3.295521168,2.19808651,0.793490807,0.148135707,0.657546866,1.204481604,0.507122106,0.936883741,0.641284066,2.161569653
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.029715616,5.194985338,-1.947607641,-1.957050271,-3.511120538,-0.20935694,0.741424685,3.973999005,4.771853676,,,,,,,,,,,
Chile,,3.080291069,1.902549011,3.717376295,0.563878573,-0.93352621,9.252344605,1.844096781,1.877012849,2.248539569,0.186173787,7.666436601,-2.596773081,-6.529341559,0.782173461,-14.25642359,2.244082568,8.767193196,6.085096338,6.821999892,6.431288495,5.029216672,-12.24096691,-6.325916588,2.636853298,2.490138255,3.780876273,4.800910455,5.634008751,8.146882386,1.653254839,6.041865618,9.347155216,4.86809869,3.388635206,7.308348108,5.290983518,5.983091878,2.990659878,-1.627586328,4.094314573,2.146176048,2.000585088,3.005876123,6.102812658,4.646759137,5.200380038,3.790320755,2.42625274,-2.60145285,4.750242103,5.057708365,4.309193989,3.031573491,0.692522609,1.105984398,0.372098731,-0.247251359,2.281121035
